变更类型,旧路径,新路径,旧SHA256,新SHA256,旧字节数,新字节数,内容类型,处理提示
修改,产品与EMAP事实探查/成熟工具增强事实探查/04_证据与结果记录模板.md,产品与EMAP事实探查/成熟工具增强事实探查/04_证据与结果记录模板.md,dd55dc58d8549445c184d9c3fbed74bf62757992959c09effc1cbf7c4610485e,4b7e182b1d85fd7c6356ba1365c5ca3f5fb63d990d2a27c6897ad6cb2ea2425f,12519,13018,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/成熟工具增强事实探查/06_本地AI执行与续接.md,产品与EMAP事实探查/成熟工具增强事实探查/06_本地AI执行与续接.md,393babb6dfcb208c6b854ed85e531a301c1dcea1d53d220bd0b3207b1b063268,e1bd3dc698831bac605e4a9686adacc70655177ff3f2a28ed3a35296c059ef4b,9116,9166,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/成熟工具增强事实探查/07_验证记录与适用边界.md,产品与EMAP事实探查/成熟工具增强事实探查/07_验证记录与适用边界.md,4b28be4a79f8e062436b8d1c790b408d70c9571827cdcc9575bf9b48810cedc0,dc5f31ab33a4389cc6042807f572df007e9ac4aff863f2b766d6b057e10c8960,9892,10311,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/成熟工具增强事实探查/PACKAGE_MANIFEST.json,产品与EMAP事实探查/成熟工具增强事实探查/PACKAGE_MANIFEST.json,a85a74a47ec04d55592e231728179f3690869b9cd8ac9a1038911a901c13d008,4a39d451d2e194cc4c6845a70d1626240e8a2f1981bf363b7a0257ef35fd473e,9338,9425,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,产品与EMAP事实探查/调度相关产品与EMAP代码联合探查方案_v1.0_2026-09-18.md,产品与EMAP事实探查/调度相关产品与EMAP代码联合探查方案_v1.0_2026-09-18.md,123b184142b99f0845309da10841fc8335fe50a40e9676ead2897733de0cfdfb,47915f7d433114ba58ac51dfa0bb39a080f60a18f8f0743144103fea21b68395,39153,39269,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,任务记录/README.md,任务记录/README.md,06360894eabaed34f8d1c024f88cccfafe4d17d24ed4af9b586a6cd48bac0367,b4b66f2b79611ac0372408be06b187e00ff232c956a711c8083e36dafcb26cfa,1011,1289,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,任务记录/任务记录模板.md,任务记录/任务记录模板.md,1f49db99b2983d912b254697c6523b070f4c1cbeb4d8286b4e08f3b9974e88aa,d5125491c2b854e2fb1eb53db39e1cbc341d7f6ea66741e7aa19b97738c1ec12,1031,2189,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/00_共享能力_图元代码与信号观测.md,工具接入与共享能力/00_共享能力_图元代码与信号观测.md,e10c357bd07131277324869109eb928ea99ee304e8c0fd85f68fe4131d9def88,cd72e417f2ccaf1cb168764196ba75d322ec305e56e6cbc7db81c7e585984f5c,3584,4096,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,工具接入与共享能力/BEH原生能力/BEH已知问题与观测适用边界.md,,65ea54aa6617fa8d34d29fcdfdb50b5878257ad7042bfb04f80bbb6b58430480,,5992,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/README.md,工具接入与共享能力/README.md,d1a7e03c6adc3b117e29505a3619bf56acd428d68f7bd5144a8d463ce0c0632a,bd86ebc9d01703a3aa5ec4eea5ac8d09a0c168ad671be3c96b19b152da8c2b85,2856,3350,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/信号追踪与运行观测/上板信号全链路采集建设与操作指南_跨核与BEH图元_v1.0.md,工具接入与共享能力/信号追踪与运行观测/上板信号全链路采集建设与操作指南_跨核与BEH图元_v1.0.md,df50acd8fb4b8c3006b020b042e360b46b049a182f86b9f5baff6f6ee2cc388a,abab7ce1f8f1db1d44cf0d8fffad596e1716bd0b6e7738458ad6254187a5ca60,62211,69158,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/信号追踪与运行观测/不上板信号全链路建设与验收指南_跨核与BEH图元_v1.0.md,工具接入与共享能力/信号追踪与运行观测/不上板信号全链路建设与验收指南_跨核与BEH图元_v1.0.md,1c67735e4470fb4845df078e77b196324a59f96ca7c42f6549ea66c5b18cd754,8e4076ecb0ec8f3b8f446482ffc83d34577ed3f4bd583d3a72ad22f973ed31ba,59134,60203,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/工具状态与验收报告.md,工具接入与共享能力/工具状态与验收报告.md,221123f362ec55c69246c85a32ce30f044769f6237df1d6a0e43dc8041e2c5ac,1ffb5fbadaa051c1d3293ce85f459593f783f0f16b4f46f350abc356bd86419b,10026,10840,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/工具统一管理与使用指南.md,工具接入与共享能力/工具统一管理与使用指南.md,8f89f32ab0740594d6adef1e934b3f9e02d048eaf21de8a214a8b9cab213b953,17b2aef55862720110de6160a08a0fce41b64a5912607a96d601ed2cbd0e89d6,69093,70594,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/工具选型与接入调查/BEH_控制工具调研与源码调查任务单_v1.0_2026-09-17.md,工具接入与共享能力/工具选型与接入调查/BEH_控制工具调研与源码调查任务单_v1.0_2026-09-17.md,da0b4f79fd046f08a16ccc31e875ce8388594478be1c663629c4a9bfa0389af9,80864f680f422f7294c35c30414c486ce0678609a9144ada4ea2f8e8fdb5fc4e,24504,24840,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,工具接入与共享能力/能力索引.md,工具接入与共享能力/能力索引.md,5f53589971eb43218c1ca1f62d8940dc640715d58e16a4b5ec9f8900ae14aabc,3005b46128c3e1fe5c03a9c2cc7f04b4f714b8bfd8b0886b91c4e68abbe9f20b,2069,2458,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,总览与规则/2026-09-20_场景集成与证据规则修订记录.md,,eb02eecc23fbfa329873576494dd50e653d5038029e255f987a9411dc4849e94,,8366,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/GitHub接入状态.md,总览与规则/GitHub接入状态.md,db5ddb377c428b70ec9fcb8bb7eaa87d3777f8922fc4a28c1e4e3cf70ba79e9b,38e0fb3613515c69582dda00ccb8e66df29d25eebaa56c28e82c8032f61297a5,1910,2328,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/README.md,总览与规则/README.md,268d7fb4da0dcb0cb0a9b3cd9d4ff7573a07c5ce12f6d22dbd15c8ff3afcaddf,11b5a46fbacb90104f2ba91719d99eb5a00a49b3dfcca272df66e9b5196bcab5,1059,1410,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/参考规范/02A_按事实域划分的证据可信度矩阵_v1.0.md,总览与规则/参考规范/02A_按事实域划分的证据可信度矩阵_v1.0.md,f29d3f035666231131558be8663ef657d96cc68f4fff1dd07556676af4ef02a8,93fc8fa1d9642b2c19bcd9ea66c37c0f84a9b25434a35b5fb9eadc9dedc7a324,12550,15300,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/参考规范/02_术语_事实源与信任边界_v1.0.md,总览与规则/参考规范/02_术语_事实源与信任边界_v1.0.md,0f4f6502900cbb69ba0b69bb8898c62ec9e69c1a67b4c0d2432f0910c961e3d2,111470869f1d772f0d18554e050e90b91873badecbf1a0c998391d1c7df941d4,6416,6822,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/后续推进.md,总览与规则/后续推进.md,b2827a4a75763fa1d063b980a5d650502663f5ae9f4d766fef5631cf0c793795,47e04a73d0278726f2455a0c276525468a73d5f3d700d5448c079bd73d58aa8c,3601,3944,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/归档与同步规则.md,总览与规则/归档与同步规则.md,971bc29983f7059cefadd9502e6ee4ffe205454b1f7cabc00f8b2c31e0e0d25c,0f141c223e63a8ca1b74f797839c546e95f61ccec856d88671837088aa57fee7,5425,12323,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,总览与规则/资料索引.md,总览与规则/资料索引.md,26945abb035e6c2e1a8d7f6bab3fef2d3a6e80504302e8f9b1fae982067ccfd7,0b7b39f1719e95679748059ba2ad4a7501cbf02758ec4e96ae268e7fae9d809e,38364,39037,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,真实场景集成验证/00_总入口与执行约定.md,,be004bce79be05fc476462c31e17c8bc293957a2da2d4043530dd75719986d41,,7045,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,真实场景集成验证/场景清单.md,,378aed612a5f8efae64570752392ef3430c1067734c7222e6803c8be19aef793,,832,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,真实场景集成验证/端到端用例与POU验证/01_场景实施方案.md,,7163dd923e0576ddbcdcaec0d80fc2f84ae26561c971933ae4d67b4d14d8f324,,11313,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,真实场景集成验证/端到端用例与POU验证/02_用例映射与执行记录模板.md,,10490a3a8b6923288f2d166f74e18bbe59192c3dac05c38ff92e75c7bd005f90,,5619,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,网页工作台/00_网页工作台_模块入口.md,网页工作台/00_网页工作台_模块入口.md,fb8c5730b47069b80d20b5666f6c8344774224c6a03fa8410554261ebcc75073,366c7ea5848980575cad13ec67973df4a4324b00b92c7aa9dbd347c16ad43893,2536,2869,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,网页工作台/参考规范/19_Golden样本_回归数据集与原生BEH对照_v1.0.md,网页工作台/参考规范/19_Golden样本_回归数据集与原生BEH对照_v1.0.md,a5d4fdcf2a9be3d894c404b49836c6296418492db819b5ac4075182b58d9f27c,6c46c5aab2bf91ac3fc42b9379fbc64fd7d0ea3840908faab160014c4a3e69be,2357,3000,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
修改,问题定位与修复/README.md,问题定位与修复/README.md,0458a60dbf90a940b66d376abfa2f96ee83da1cdd70926701ad1e67a5fefee31,4b96d0982e1326bf8534af929d39b0662380e70e87a07fefea44b9d2b840b365,2759,3092,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/00_hero.png,,58964e18f4e627a60b7a7a05cf3c7f4b8a74eed3e38302980c9fac0c357193aa,,1556650,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/01_体系全景.png,,6d1dce567f909aa80b5dee45df60d162c33c0c9a6567c698a5ab61bf2f55cfe0,,285372,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/02_双仓证据.png,,09972c441acb9afb0f6bc7f602256bc5697971b00838ce36be386142bfcefc29,,291985,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/03_调度判断.png,,e83ef4b9eb750d684d06b2825df9b0f94d787138d12ad9a40e7298f86de66e03,,287566,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/04_解释测试.png,,fb09b7bb099a4eb71d57d137413d0994e3567d78b405e1c2783a55221983953f,,282178,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/05_开发保存重载.png,,bf7d9e6dc89592f2a910fb0beaa73ff98aea3568bdd28180f62a5dd233095f59,,288516,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/06_故障五层.png,,3c46729bfd54658a81f025c222bb153fcf0ed49133f58eff6cb7a53dd1c2ce9e,,281122,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/07_多工具业务验证.png,,d22bb8adba9bd7fe602528ebd82a49b959824775c58a0bc05313e18b457051f6,,333302,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/08_环境与构建组合.png,,4fbd56c4b64edab92b3b2292a17405ca93ffb0d3c369e06e39e4c0c537176ca3,,304847,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/09_HPT_填写.png,,608f4dc6847ca08b57f578a481c25143c1773a523610b1c6df1640db83bc3060,,70455,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/assets/10_HPT_持久化.png,,d99f129c9abd4c8a1ed1fa84348f2c23f1c8e65b405014416224e70ca51c99a9,,48509,binary,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/01_体系全景.mmd,,e689d9e86915a10b4aac35ccb6c13de5bb0a28e2a4c055cfff1d336d101b9fc8,,578,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/01_体系全景.svg,,9f90e9778857e5c14a022d9699b389ce43a230a0b5a755f2467301d3f109f3ce,,5136,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/02_双仓证据.mmd,,52ccf689821d9b7a30695938c6173023c40b33584dc7d034d497dcb88387c79c,,664,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/02_双仓证据.svg,,99051340fc9ac79448cc4c2942bff8dfc8ad09fdb7f81c03bc0ca1b0410df028,,5388,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/03_调度判断.mmd,,dff7a396fdb0e1a5489b0b41507a3e5386c547b72b819a188bd5d549e44837fc,,679,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/03_调度判断.svg,,9e114d787ab73b12e98d7f80678d9368aaacc4ae3f7daf1e4f8ee6d82bd3102f,,5789,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/04_解释测试.mmd,,514ae82f1ef2a2ec9ee33d780b2dee7749223d63c23a14e7f949130d1871da6e,,509,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/04_解释测试.svg,,def0af84b01e182fa934f3c4f1ac97fac4d32dada1e4e9e5da2dc69919228549,,4373,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/05_开发保存重载.mmd,,8eb2a10ee3c2c400969a3c6cb2deb3bb0c98019043523097cd44a7b6a0079bc0,,575,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/05_开发保存重载.svg,,690dc29320def1f3295677471fbafcf8e4688bcc449b26b024eb563ec5668a9d,,5127,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/06_故障五层.mmd,,bdba974032168b676a811e6366c30f9e0c2cbf3c0ec3c8abaf7f41b3a2bae486,,673,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/06_故障五层.svg,,fedde4e649bd1230d778767bcf578e6488b44f03065c484d781df38a128d3d02,,5559,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/07_多工具业务验证.mmd,,07555cb49646f871d86d9e889b994a93073859d046c9de06039c50571ca7f719,,607,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/07_多工具业务验证.svg,,8a1b4e0f3a85caf9d7f360704ade70f717d396246a480b82d063000ee8f9c13f,,5498,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/08_环境与构建组合.mmd,,faf9b296def7abcaac94517559ee3e28e18f7a400536f4d6b017864e7552965d,,648,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/diagrams/08_环境与构建组合.svg,,5e456ae6feab006dd3192f92ac36bfbe828779b0aca247ddb72e024e7a4e6d1b,,6244,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/痛点攻坚型AI_阶段成果全景_图文完整稿.html,,3ce43a94d8d36f0e2bc5a08536ed9c70ae976be7fdef22e89cf3392b89eb0add,,5826109,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/痛点攻坚型AI_阶段成果全景_图文完整稿.md,,fa92ac62d67b0a6b52b0ffe3a15e9638aaa50ef1d87d313b01e01dabc84d615f,,80652,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/图文完整稿_2026-09-19/阅读说明.md,,d6dd75378cf2b2d0f3a741e0f30c302df3a09ebd1d0520629f611a1ddbf31165,,1583,text_utf8,保留本地事实并三方核对；不自动覆盖或删除
新增,,阶段成果汇报/痛点攻坚型AI_技术创新成果展示_重构稿_v0.2.pptx,,156c4ab0f9785d0eb9965e27524133f06d37d931fced8841f13bd2a566206547,,1656360,binary,保留本地事实并三方核对；不自动覆盖或删除
元数据重新生成（不纳入递归文本比较）,总览与规则/工作区文件清单.json,总览与规则/工作区文件清单.json,8dca604c51e18690edd5aff2bc9dad9e1c3024b18460b0e33e441673afd62bb2,见包内实际文件；避免摘要循环,64953,见包内实际文件,generated_metadata,清单覆盖本包文件，核验报告保留历史并新增本次检查；本机事实不能由模板覆盖
元数据重新生成（不纳入递归文本比较）,总览与规则/核验结果.json,总览与规则/核验结果.json,e880001eead745cd7a2851714b803da608c33b2c2f1305dcc4005a1542a41ed4,见包内实际文件；避免摘要循环,2360,见包内实际文件,generated_metadata,清单覆盖本包文件，核验报告保留历史并新增本次检查；本机事实不能由模板覆盖
