原位置,当前相对路径,原文件ID,原版本,原字节数,原SHA256,导入基线SHA256,当前SHA256,当前字节数,状态,修改说明
/BEH_统一工作区/90_历史资料/测试旧版本/BEH_FB行为测试最小MVP实施指南_v1.0.md,历史资料/测试旧版本/BEH_FB行为测试最小MVP实施指南_v1.0.md,libfile_867c62cf2ab48191bc2ae77ac8ea23ee,,11535,25f9ed57050b7c78e6273ecfff40496d81d3c39bb725cde4578f73a27f0147bb,25f9ed57050b7c78e6273ecfff40496d81d3c39bb725cde4578f73a27f0147bb,25f9ed57050b7c78e6273ecfff40496d81d3c39bb725cde4578f73a27f0147bb,11535,已导入本地 Git,
/BEH_统一工作区/30_AI测试/参考规范/BEH_Headless图元行为测试_PoC工程约束与防取巧指南_v1.0.md,AI测试/图元行为测试/参考规范/BEH_Headless图元行为测试_PoC工程约束与防取巧指南_v1.0.md,libfile_ecbd358a7f8c81918acadcde577f8343,,11119,4c224edf198e6cb66b11d87263dcb84eaf847c6d963c2583c42b9abdecf1d24f,d657914681c05315c473f9ce024e6bdf1c4d8f2d6950ab1b4b1beaeb3a49364d,6fc9bae913c3b1f6d2bed7048059f76031067c390be9a210a13d7a038b452d93,11387,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中；统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/10_网页工作台/历史参考图/BEH分析器动态数据流仪表盘.png,网页工作台/历史参考图/BEH分析器动态数据流仪表盘.png,libfile_bb64bb177b1081918cce54503d0e2726,,1706966,817abce7542ec367ae8cc8f372946c4bb93c73dae64e588781b2e0c1a5757559,817abce7542ec367ae8cc8f372946c4bb93c73dae64e588781b2e0c1a5757559,817abce7542ec367ae8cc8f372946c4bb93c73dae64e588781b2e0c1a5757559,1706966,已导入本地 Git,
/BEH_统一工作区/10_网页工作台/历史参考图/BEH AI 工坊：车辆控制数据流联动.png,网页工作台/历史参考图/BEH AI 工坊：车辆控制数据流联动.png,libfile_4047b2355fa08191b52cba1276335980,,1725450,0dedc02d04e870880f6003b1fa8c8202ed4bade89c4133245a68fa4c04f2cccf,0dedc02d04e870880f6003b1fa8c8202ed4bade89c4133245a68fa4c04f2cccf,0dedc02d04e870880f6003b1fa8c8202ed4bade89c4133245a68fa4c04f2cccf,1725450,已导入本地 Git,
/BEH_统一工作区/10_网页工作台/历史参考图/BEH人机协同平台架构总览.png,网页工作台/历史参考图/BEH人机协同平台架构总览.png,libfile_3060559765188191a92188661aa99e67,,1841107,d8c8503def2f221a089855207068c770001ec474aafa9a2e235a3d6bb2a4d0a4,d8c8503def2f221a089855207068c770001ec474aafa9a2e235a3d6bb2a4d0a4,d8c8503def2f221a089855207068c770001ec474aafa9a2e235a3d6bb2a4d0a4,1841107,已导入本地 Git,
/BEH_统一工作区/90_历史资料/旧文档包/BEH_原生Renderer定位与Offscreen复用专项_新增文档包_v1.0_2026-08-19.zip,历史资料/旧文档包/BEH_原生Renderer定位与Offscreen复用专项_新增文档包_v1.0_2026-08-19.zip,libfile_f6b3f975b5448191803c4639deb12200,,7155,cc60f57c432da21a917a9e9ea9b006acb40ec69f0635a66c568a181b3e272f7d,cc60f57c432da21a917a9e9ea9b006acb40ec69f0635a66c568a181b3e272f7d,cc60f57c432da21a917a9e9ea9b006acb40ec69f0635a66c568a181b3e272f7d,7155,已导入本地 Git,
/BEH_统一工作区/90_历史资料/旧文档包/BEH_NativeRenderer视觉保真专项排查_新增文档包_v1.0_2026-08-19.zip,历史资料/旧文档包/BEH_NativeRenderer视觉保真专项排查_新增文档包_v1.0_2026-08-19.zip,libfile_8041425ff9cc8191afc7d9520f84f9cc,,6552,7698083b8ba00d790e61af8bc9d86c5c07354ef5f5209b9ab38c142478f04fde,7698083b8ba00d790e61af8bc9d86c5c07354ef5f5209b9ab38c142478f04fde,7698083b8ba00d790e61af8bc9d86c5c07354ef5f5209b9ab38c142478f04fde,6552,已导入本地 Git,
/BEH_统一工作区/90_历史资料/旧文档包/BEH_交互与测试补充规范_无人工参与_v1.1_2026-08-19.zip,历史资料/旧文档包/BEH_交互与测试补充规范_无人工参与_v1.1_2026-08-19.zip,libfile_0657109cec98819188c5c5fb377a5ebf,,13762,87eaf9c710a201e47ac51febc44cb9c2e122e85c85a15a5fa5b6a37438679142,87eaf9c710a201e47ac51febc44cb9c2e122e85c85a15a5fa5b6a37438679142,87eaf9c710a201e47ac51febc44cb9c2e122e85c85a15a5fa5b6a37438679142,13762,已导入本地 Git,
/BEH_统一工作区/90_历史资料/旧文档包/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,历史资料/旧文档包/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,libfile_44a526e911f48191a1996f178e43acc6,,13194,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,13194,已导入本地 Git,
/BEH_统一工作区/90_历史资料/BEH/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,历史资料/BEH/BEH_交互与测试补充规范_新增文档包_v1.0_2026-08-19.zip,libfile_4f6c688fd16c81919f5e2f79eff9a485,,13194,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,32cee72fedfaf7e733b670d682da006f18606ab0d0caa5558bf28a4c23d2f3bb,13194,已导入本地 Git,
/BEH_统一工作区/90_历史资料/BEH/ADDON_MANIFEST_交互与测试补充规范_v1.0_2026-08-19.json,历史资料/BEH/ADDON_MANIFEST_交互与测试补充规范_v1.0_2026-08-19.json,libfile_3a9dbd9e381c819195b996172af65bf4,,1312,41517458dd50899ff2b75ffef615be34ddb3e225f6a1c218c02275a407c85b9b,41517458dd50899ff2b75ffef615be34ddb3e225f6a1c218c02275a407c85b9b,41517458dd50899ff2b75ffef615be34ddb3e225f6a1c218c02275a407c85b9b,1312,已导入本地 Git,
/BEH_统一工作区/90_历史资料/BEH/ADDON_README_交互与测试补充规范_v1.0_2026-08-19.md,历史资料/BEH/ADDON_README_交互与测试补充规范_v1.0_2026-08-19.md,libfile_7c535a9fb868819190e8591659e2aca3,,1561,058d191050fa72d641287ead64084ea1f624b2cee96db53128a9635473fc58bb,058d191050fa72d641287ead64084ea1f624b2cee96db53128a9635473fc58bb,058d191050fa72d641287ead64084ea1f624b2cee96db53128a9635473fc58bb,1561,已导入本地 Git,
/BEH_统一工作区/10_网页工作台/参考规范/32_当前交互缺陷_HumanGolden验收案例_v1.0.md,网页工作台/参考规范/32_当前交互缺陷_HumanGolden验收案例_v1.0.md,libfile_dd22cc70daa88191a45280edc7e68135,,2938,2988ce485002b0a4ad4c7edaf9585d0452e805cf5047d2d27c5a4a8cbf6ad7ee,2988ce485002b0a4ad4c7edaf9585d0452e805cf5047d2d27c5a4a8cbf6ad7ee,31d90d02686dcdf4133a6e9f7632260d21f3d079cb9f0681384a1baae0e50228,3200,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/10_网页工作台/参考规范/31_NativeScene视觉保真与Arrow_Port_Relation验收规范_v1.0.md,网页工作台/参考规范/31_NativeScene视觉保真与Arrow_Port_Relation验收规范_v1.0.md,libfile_802b8acc77308191ab69fa0eafaa75f2,,3192,f2d1c3e2c95800610ad70a7ff3613821a0feae43f0f15d6e8ece9c179d7d8395,f2d1c3e2c95800610ad70a7ff3613821a0feae43f0f15d6e8ece9c179d7d8395,ddb5bf14ff5737d56a2e9513ea2dda688924d4ba36df9f80292c7d55909e9c20,3454,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/10_网页工作台/参考规范/30_Playwright连续交互_状态机与Viewport测试规范_v1.0.md,网页工作台/参考规范/30_Playwright连续交互_状态机与Viewport测试规范_v1.0.md,libfile_9f4c36ac9ec081919a8cbeaf6ad73d4c,,3739,9944f6859040ace12d57089696542c5157fc4a74eb961681ed2630edd0589f81,9944f6859040ace12d57089696542c5157fc4a74eb961681ed2630edd0589f81,e112b66156ccc3d504cecf23c036aad4d45bdbf8abf1e75312605226cfdc0a46,4001,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/10_网页工作台/参考规范/29_HumanAcceptanceGolden与TestOracle规范_v1.0.md,网页工作台/参考规范/29_HumanAcceptanceGolden与TestOracle规范_v1.0.md,libfile_5278b189a94481919c64bb02c169a37d,,3327,89a90c175788410dd5bff5426e80ae50baa23c414940d0e2fb108066568dfea0,89a90c175788410dd5bff5426e80ae50baa23c414940d0e2fb108066568dfea0,275f9e38e741afefd1fb41e99e31e5d35c868718969dde2e1aa6767198f84b3c,3589,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/10_网页工作台/参考规范/28_Web画布交互行为契约_v1.0.md,网页工作台/参考规范/28_Web画布交互行为契约_v1.0.md,libfile_aa1eba6834d481919e6472c15ce461c8,,6860,956b5f2e79d19940684579ce83a485a09c77c78ed9c65cabcb326ea7d68682fb,956b5f2e79d19940684579ce83a485a09c77c78ed9c65cabcb326ea7d68682fb,20f7720d884896f19c1686b71aba66ea533f4b44e5bdb060d00ac4e2ee54194e,7122,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/90_历史资料/旧文档包/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19_最新版.zip,历史资料/旧文档包/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19_最新版.zip,libfile_4d9223a52fe88191bca2c5fcbd32b1b3,,60136,617506f4525f7d1bc9e0ad4ff312537475fb46353eb19b52ad430e3d343f21a0,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,60122,已导入本地 Git,统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/00_总览与规则/参考规范/02A_按事实域划分的证据可信度矩阵_v1.0.md,总览与规则/参考规范/02A_按事实域划分的证据可信度矩阵_v1.0.md,libfile_fd0a36569718819193d9592d4a24aeda,,12288,a9a17dee7b6ad6a27d119796e0970614b99bf26cd21bea5bfaadf0371559378f,a9a17dee7b6ad6a27d119796e0970614b99bf26cd21bea5bfaadf0371559378f,f29d3f035666231131558be8663ef657d96cc68f4fff1dd07556676af4ef02a8,12550,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/90_历史资料/旧文档包/BEH_新项目文档集.zip,历史资料/旧文档包/BEH_新项目文档集.zip,libfile_2ccf77d79dcc8191b053458d1d4ccb1d,,60109,6b3ce478f8c7beac33b13aa7d62e4ae16a8b5f0cbd05db0d3a3c0da06111f50d,6b3ce478f8c7beac33b13aa7d62e4ae16a8b5f0cbd05db0d3a3c0da06111f50d,6b3ce478f8c7beac33b13aa7d62e4ae16a8b5f0cbd05db0d3a3c0da06111f50d,60109,已导入本地 Git,
/BEH_统一工作区/90_历史资料/BEH/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19.zip,历史资料/BEH/BEH图源与代码分析工作台_新项目文档集_v1.0_2026-08-19.zip,libfile_330d2dd88ea4819184c1abf17a845a81,1,60136,617506f4525f7d1bc9e0ad4ff312537475fb46353eb19b52ad430e3d343f21a0,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,da7a691eb03b01f82b70742c998e5c54acca69f84372bd36725c6df2e681fb7d,60122,已导入本地 Git,统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/90_历史资料/BEH/README.md,历史资料/BEH/README.md,libfile_d783221a23348191bd5987b9b585e9a5,,679,d05d883a83ac6c984579232759efbe7c27e167a04b5676016f5a81d5edcfa748,d05d883a83ac6c984579232759efbe7c27e167a04b5676016f5a81d5edcfa748,d05d883a83ac6c984579232759efbe7c27e167a04b5676016f5a81d5edcfa748,679,已导入本地 Git,
/BEH_统一工作区/90_历史资料/BEH/PROJECT_INSTRUCTIONS_项目运行规则_v1.0_2026-08-19.md,历史资料/BEH/PROJECT_INSTRUCTIONS_项目运行规则_v1.0_2026-08-19.md,libfile_cda7d8567a7881919629b854ee0f82da,1,4834,8e0eafd82f46d03c479cacb31018146ce3414aeee00b747f882c208a70aabede,8e0eafd82f46d03c479cacb31018146ce3414aeee00b747f882c208a70aabede,8e0eafd82f46d03c479cacb31018146ce3414aeee00b747f882c208a70aabede,4834,已导入本地 Git,
/BEH_统一工作区/90_历史资料/BEH/DOCUMENT_MANIFEST.json,历史资料/BEH/DOCUMENT_MANIFEST.json,libfile_d79e962151ac81919449c397ed28828f,1,6187,5c3e749f5331573d2ba6ec94fc5d9d9ffa0ecd7ef82102aa38dc8382f3caa20c,a276ad9e1ee2f1119498646e94d307008c05d62a1f73973b6d073168bd3875ac,a276ad9e1ee2f1119498646e94d307008c05d62a1f73973b6d073168bd3875ac,6187,已导入本地 Git,统一整理展示表述，并更新对应校验值（2026-09-18）
/BEH_统一工作区/90_历史资料/后置能力/27_精雕细琢与高级能力路线_后置_v1.0.md,历史资料/后置能力/27_精雕细琢与高级能力路线_后置_v1.0.md,libfile_cb7434080098819197d17d8a6bdf38dd,,1607,3a91a46c4068e0ee149ff839c0c12b14bdcc107e319d8bbaac45be57bc29a1a5,3a91a46c4068e0ee149ff839c0c12b14bdcc107e319d8bbaac45be57bc29a1a5,3a91a46c4068e0ee149ff839c0c12b14bdcc107e319d8bbaac45be57bc29a1a5,1607,已导入本地 Git,
/BEH_统一工作区/10_网页工作台/参考规范/26_Web信息架构与画布优先交互设计_v1.0.md,网页工作台/参考规范/26_Web信息架构与画布优先交互设计_v1.0.md,libfile_470f284bd1b881919b7399240f660923,,3152,b6e356904f644e77959975eed4a8aa16313d8b2882fd441b6a8fc34e8961ec2d,b6e356904f644e77959975eed4a8aa16313d8b2882fd441b6a8fc34e8961ec2d,115025fd64f845f6ccef4482ba042563176cbad466a77f1bdec3d020005ac3ba,3414,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/00_总览与规则/参考规范/25_模型任务SOP与输出Schema执行规范_v1.0.md,总览与规则/参考规范/25_模型任务SOP与输出Schema执行规范_v1.0.md,libfile_6a37a630d63c819194f852fb19dce99f,,1285,1a79dacf57952071ecb1c053e22c1cc84dc93a93ddd64d38c1f68e80486f04fc,1a79dacf57952071ecb1c053e22c1cc84dc93a93ddd64d38c1f68e80486f04fc,5821c9dbebe7997967b00c1dfafa75ea78f2d21d0d5d2366701ba3e75998f5eb,1547,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/00_总览与规则/参考规范/24_证据优先_禁止硬凑与防补丁原则_v1.0.md,总览与规则/参考规范/24_证据优先_禁止硬凑与防补丁原则_v1.0.md,libfile_21be83bdb8f8819187b895d71b3f045b,,2137,05e30f2bb9796247c1a4e32e6e66eab433a8b90914547589b59af76789921301,05e30f2bb9796247c1a4e32e6e66eab433a8b90914547589b59af76789921301,36b5ee146321737dd789b8b911a9e817fd172c1be27dd8b2e9a0b0cdf69c7168,2399,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/40_AI开发/参考规范/23_beh_compose_graph_and_code_Skill设计_v1.0.md,AI图元与代码开发/参考规范/23_beh_compose_graph_and_code_Skill设计_v1.0.md,libfile_be01c8fc29b08191ad7fb6f0b50bf305,,1935,78e2d238ae8c18311be88af4d8d534ca231532df959c227ca2607e113d176850,78e2d238ae8c18311be88af4d8d534ca231532df959c227ca2607e113d176850,20b9b1b532e8b6d5eb382a538fab7b52e0622f216faf8add920d8773a3029705,2197,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
/BEH_统一工作区/20_AI解释/参考规范/22_beh_diagram_analysis_Skill设计_v1.0.md,AI解释/参考规范/22_beh_diagram_analysis_Skill设计_v1.0.md,libfile_62cbb4cb9fe481918afa4717ee1f018a,,2567,2c6118b095cfcc1eb0d272e05ab5b8905ece7ccea6e3bd8477b06ad32d2d7308,2c6118b095cfcc1eb0d272e05ab5b8905ece7ccea6e3bd8477b06ad32d2d7308,9dec5a184214e9ecb14641b14390592d7f6fd933d4930307f3a1dc652da4a414,2829,已导入本地 Git,增加归档说明和/或适配文件引用；对应资料版本保存在导入提交中
